#Wavelength[Angstrom]  Flux[Flux per Angstrom]
4435.54         1022.687
4436.54         1020.448
4437.54         1033.828
4438.54         1051.904
4439.54         1057.178
4440.54         1089.722
4441.54         1098.824
4442.54         1098.217
4443.54         1118.793
4444.54         1118.619
4445.54         1120.972
4446.54         1143.652
4447.54         1148.343
4448.54         1148.635
4449.54         1151.408
4450.54         1138.806
4451.54         1110.034
4452.54         1072.499
4453.54          1046.33
4454.54         1029.464
4455.54          1005.81
4456.54         986.3556
4457.54          969.857
4458.54         958.9697
4459.54         958.9273
4460.54         961.2043
4461.54         966.7469
4462.54         973.8986
4463.54         989.0367
4464.54         1022.422
4465.54         1035.644
4466.54         1046.683
4467.54         1087.597
4468.54         1089.117
4469.54         1079.525
4470.54         1100.867
4471.54         1121.549
4472.54         1132.321
4473.54           1154.9
4474.54         1166.357
4475.54         1173.016
4476.54          1188.47
4477.54          1182.95
4478.54          1176.14
4479.54         1167.793
4480.54         1155.976
4481.54          1141.99
4482.54         1139.379
4483.54         1145.424
4484.54         1153.865
4485.54         1160.209
4486.54         1157.619
4487.54         1160.229
4488.54         1166.733
4489.54         1157.198
4490.54          1132.58
4491.54         1106.857
4492.54         1096.712
4493.54         1084.559
4494.54         1081.225
4495.54         1083.678
4496.54         1093.761
4497.54         1103.224
4498.54         1116.051
4499.54         1137.668
4500.54         1166.964
4501.54         1197.406
4502.54         1221.795
4503.54          1236.69
4504.54         1252.895
4505.54         1268.734
4506.54          1273.07
4507.54         1269.679
4508.54         1257.302
4509.54         1249.273
4510.54         1251.763
4511.54         1237.321
4512.54         1225.656
4513.54         1218.476
4514.54         1203.986
4515.54         1195.448
4516.54         1198.378
4517.54         1203.069
4518.54         1205.677
4519.54         1214.677
4520.54         1216.538
4521.54         1208.875
4522.54         1197.031
4523.54         1170.823
4524.54         1141.698
4525.54         1114.187
4526.54         1082.876
4527.54         1054.691
4528.54         1021.794
4529.54         1010.246
4530.54         1017.753
4531.54         1025.625
4532.54         1040.034
4533.54         1066.734
4534.54         1092.929
4535.54         1104.456
4536.54          1114.61
4537.54         1130.931
4538.54         1143.868
4539.54         1158.173
4540.54         1181.143
4541.54         1183.834
4542.54         1174.413
4543.54         1142.683
4544.54         1110.315
4545.54         1143.843
4546.54         1158.158
4547.54          1153.87
4548.54         1162.732
4549.54         1171.798
4550.54         1167.192
4551.54         1162.668
4552.54         1166.557
4553.54         1170.884
4554.54         1190.566
4555.54         1206.693
4556.54         1224.859
4557.54         1242.786
4558.54         1264.379
4559.54         1282.658
4560.54         1289.426
4561.54         1284.043
4562.54         1280.454
4563.54         1272.837
4564.54         1265.634
4565.54         1259.887
4566.54         1253.197
4567.54          1254.93
4568.54         1263.627
4569.54         1269.719
4570.54         1270.484
4571.54         1265.344
4572.54         1255.361
4573.54         1251.127
4574.54         1241.782
4575.54         1233.251
4576.54         1233.369
4577.54         1227.812
4578.54          1214.74
4579.54         1200.745
4580.54         1180.598
4581.54         1176.581
4582.54          1182.91
4583.54         1187.738
4584.54          1201.41
4585.54         1211.992
4586.54         1229.811
4587.54         1238.526
4588.54         1236.162
4589.54         1220.685
4590.54         1218.859
4591.54         1228.744
4592.54         1223.127
4593.54         1216.151
4594.54         1220.706
4595.54         1207.713
4596.54         1197.981
4597.54         1189.464
4598.54         1190.857
4599.54         1197.519
4600.54         1192.112
4601.54         1205.719
4602.54         1213.724
4603.54         1211.426
4604.54         1217.268
4605.54         1238.833
4606.54         1262.223
4607.54         1273.699
4608.54         1285.272
4609.54         1303.318
4610.54         1313.909
4611.54          1319.95
4612.54         1324.417
4613.54         1331.786
4614.54          1332.07
4615.54         1344.662
4616.54         1353.466
4617.54         1353.273
4618.54         1362.835
4619.54         1361.128
4620.54         1351.426
4621.54         1355.351
4622.54         1348.246
4623.54         1336.656
4624.54         1339.341
4625.54         1346.398
4626.54         1339.097
4627.54         1316.441
4628.54         1315.705
4629.54         1311.059
4630.54          1305.63
4631.54          1305.48
4632.54         1297.389
4633.54         1299.959
4634.54         1279.983
4635.54         1256.081
4636.54         1246.015
4637.54         1221.105
4638.54         1191.165
4639.54         1188.742
4640.54          1180.23
4641.54         1160.439
4642.54         1159.486
4643.54         1165.788
4644.54          1150.66
4645.54          1139.36
4646.54         1138.003
4647.54         1141.625
4648.54         1149.832
4649.54         1151.945
4650.54         1165.677
4651.54         1190.719
4652.54            1210.
4653.54         1213.516
4654.54         1215.202
4655.54         1244.412
4656.54         1261.469
4657.54          1261.54
4658.54         1262.347
4659.54         1257.191
4660.54         1250.604
4661.54         1259.538
4662.54          1247.24
4663.54         1210.243
4664.54         1181.457
4665.54         1146.001
4666.54         1112.653
4667.54         1106.169
4668.54         1121.114
4669.54         1133.068
4670.54         1139.256
4671.54         1152.697
4672.54         1177.126
4673.54          1191.23
4674.54         1204.791
4675.54         1223.391
4676.54         1214.751
4677.54          1201.17
4678.54          1198.16
4679.54         1202.582
4680.54          1197.67
4681.54         1194.681
4682.54         1205.165
4683.54         1202.166
4684.54         1199.264
4685.54         1203.903
4686.54         1203.181
4687.54         1203.491
4688.54         1201.026
4689.54         1205.676
4690.54         1203.628
4691.54         1202.199
4692.54         1202.523
4693.54         1200.147
4694.54         1207.111
